"","AUC","Pval","FC","clusters"
"Aspartic Acid",1,3.55909652900421e-18,1.0056,4
"Glutamic acid",1,7.21473496697984e-19,0.6327,5
"Isopentyl acetate",1,6.13258322735142e-12,-1.6617,3
"Pyruvic acid",1,2.0162111347472e-18,-1.6025,4
"Aspartic Acid/Glutathione oxidized",1,9.11930454649811e-24,2.7536,4
"Glutamic acid/Glutathione oxidized",1,4.07332969182001e-23,1.322,5
"Glutathione oxidized/Hydroxy-glutamic acid",1,8.3768148057354e-20,-5.4299,4
"Glutathione oxidized/Isopentyl acetate",1,1.31718943245378e-19,-99,2
"Glutathione oxidized/Orotic acid",1,5.59061753364189e-20,-1.7822,4
"Glutathione oxidized/Serine",1,3.27152565966931e-22,0.71089,1
"Glutathione oxidized/Taurocholic acid",1,3.32358869214959e-20,-99,2
"Glutathione oxidized/Thymine",0.99875,1.30461121492319e-18,-1.9627,4
"Aconitic acid/Glutathione oxidized",0.9975,2.53766824339653e-19,-2.055,3
"Anthranillic acid/Glutathione oxidized",0.99625,3.35927307234567e-19,-1.6695,1
"Cholic acid/Glutathione oxidized",0.99625,7.84602468108587e-19,1.2084,5
"Citramalic acid",0.995,2.24198267848745e-12,-99,2
"Citramalic acid/Glutathione oxidized",0.995,3.16894237266635e-20,-99,2
"Glutathione oxidized/Malic acid",0.995,1.16132191831035e-18,2.2004,3
"Glutathione oxidized/Xanthine",0.995,1.02236115280743e-17,-99,2
"Deoxyuridine/Glutathione oxidized",0.99375,2.10189645235419e-19,-2.0355,3
"Glutathione oxidized/Oxamic acid",0.9925,2.01825279705823e-18,-99,2
"Hydroxyphenyl-pyruvic acid",0.9875,7.76734802166236e-15,0.41989,1
"Glutathione oxidized/Inosine triphosphate",0.97875,8.29361058029989e-18,-1.196,4
"Taurocholic acid",0.9775,4.16073570362195e-09,-99,2
"Deoxyadenosine monophosphate/Glutathione oxidized",0.97625,6.46845325259295e-19,-1.1267,1
"Glutathione oxidized",0.975,3.95550287207248e-19,-99,2
"Dihydroxyacetone phosphate",0.97125,5.35359856218053e-08,2.4896,3
"Glutamine",0.97,8.18208009068244e-05,-0.74905,5
"Hydroxy-glutamic acid",0.9675,2.05903296684119e-09,-0.47461,3
"Lysine",0.965,3.99651790435859e-06,-1.1093,4
"Phenylpyruvic acid",0.9625,1.43589472649207e-10,0.36969,3
"Glutathione oxidized/Phosphoglyceric acid",0.96,1.3047492259763e-18,2.3047,3
"Prephenic acid",0.95875,6.53064497192362e-21,-3.5023,2
"Anthranillic acid",0.9575,7.3205688482442e-08,-0.3419,1
"Cystine",0.9175,5.77100907532637e-05,-3.0556,2
"Asparagine",0.915,7.27216880963837e-06,-0.21437,5
"O-Phosphorylethanolamine",0.91,4.02085309758823e-05,-2.8216,2
"alpha-Ketoglutaric acid",0.905,3.71247984109211e-08,-99,2
"Succinic acid",0.9,1.20373538611943e-07,0.59402,4
"Deoxyuridine",0.8925,1.86071864906028e-06,-0.21205,3
"Taurine",0.8925,4.84570194430775e-06,-0.15999,5
"Orotic acid",0.89,8.31342107819297e-06,-0.2281,1
"Nicotinamide adenine dinucleotide",0.88375,3.73379659180429e-08,0.42458,1
"Dimethyl Succinic acid",0.8775,4.8120173278516e-07,0.3483,1
"Hydroxyglutaric acid",0.86875,6.94966297273879e-05,-99,2
"Xanthine",0.86375,0.000115768113789847,-99,2
"N-Formyl-Tyrosine",0.8575,5.50060042340353e-06,-0.72785,1
"Pyridinedicarboxylic acid",0.85625,0.000326174535317461,0.41252,1
"Xylulose 5-phosphate",0.85375,1.9941389639963e-05,0.3349,1
"Methionine",0.8375,0.0032078525240663,-0.5464,4
"Phosphoenolpyruvic acid",0.81875,0.13899389100028,-1.8068,2
"Thymine",0.81,0.000443550375521135,-0.24892,3
"Glyceric acid",0.8075,0.00036006515822661,-0.20797,4
"Cytidine",0.80625,0.0203053092732876,-0.17844,1
"Acetylcarnitine",0.8,0.000535485248301863,-0.37394,4
"Valine",0.8,0.00050013044055853,-0.069208,5
"Aconitic acid",0.7875,0.00063858835926613,-0.15884,3
"Cholic acid",0.7875,0.0384652284666802,0.0384,4
"Histidine",0.7875,0.000451904480055822,-0.090565,5
"N-Carbamoyl-aspartic acid",0.78625,0.0121548847605943,-0.18942,1
"Palmitoylcarnitine",0.78,0.00175031430923496,0.19247,4
"Alanine",0.7775,0.00115729603703168,-0.069174,5
"Arginine",0.75625,0.00210901363239377,0.40955,5
"Malonic acid",0.75,0.000161919478880936,-0.22122,1
"N-Carbamyl-glutamic acid",0.75,0.0105649632179264,-0.18842,1
"Leucine",0.7475,0.00114486791774708,-0.093709,5
"Hydroxyphenylacetic acid",0.74625,0.00336860997059355,0.63391,3
"Myristoylcarnitine",0.74375,0.00772830320945328,1.1898,2
"Tyrosine",0.7425,0.0688516742427573,0.052964,5
"Phosphoglyceric acid",0.73625,0.0644182323047758,-0.03178,4
"Erythro-dihydrosphingosine",0.735,0.00701496014775641,0.10155,4
"Kynurenine",0.73125,0.0064640163689812,-99,2
"Propionylcarnitine",0.73,0.00311038675169423,1.3048,3
"cis-Aconitic acid",0.72875,0.0149923265157911,-1.5466,2
"Hydroxyanthranilic acid",0.725,0.000549742212449285,0.35573,1
"Xanthosine",0.725,0.0092883579406167,-0.097305,1
"Hydroxybenzoic acid",0.72375,0.00802530177854299,0.65488,3
"Tryptophan",0.7225,0.0188305542574322,-0.068972,5
"Adipic acid",0.72125,0.011508775079618,0.19986,3
"Inosine monophosphate",0.71875,0.00332479974416858,0.49773,3
"Uridine diphosphohexose",0.71625,0.0298648175707966,0.14613,1
"Lactic acid",0.715,0.011126924116962,-0.030643,5
