"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"Acetylcarnitine",0.016402,-0.05205,-0.010108,0.057203,0.0021036,-0.034833,0.029924,0.076415,0.091581,-0.02073,-0.0055339,0.014906,0.060192,-0.0033266,-0.052659,0.14384,-0.07504,-0.018129,0.012583,-0.14721,0.041936,0.039466,0.024964,-0.04202,0.10424,-0.0070452,0.15155,0.078351,-0.082096,-0.071094,0.05111,-0.056577,-0.064496,0.053107,-0.099856,-0.17734,0.22333,-0.21469,-0.062281,0.11335,-0.10261,-0.14779,0.10551,0.025694,-0.015014,-0.067239,-0.075426,0.10729,0.089423,-0.070053,0.17687,0.11293,-0.15683,-0.025412,-0.016029,-0.019553,-0.021926,-0.1442,-0.052843,-0.10851
"Aconitic acid",0.00018593,0.020712,0.038588,0.035386,0.049383,-0.0057787,0.003098,-0.033512,-0.037134,-0.00014189,0.011637,-0.0059696,0.057455,0.029079,0.03059,-0.010716,0.049459,0.006976,-0.017037,0.0086496,-0.0053456,-0.029471,0.017518,0.012418,0.029147,0.01752,-0.0083355,-0.033856,-0.038597,0.045886,-0.0054622,-0.051696,0.057225,0.10875,-0.0011259,0.0025303,0.042001,-0.10255,0.0066967,0.03051,-0.099937,0.021925,0.046645,-0.00024162,-0.076247,-0.070354,-0.040037,0.10484,-0.0093072,0.05695,0.025121,-0.00060301,-0.012401,0.067044,-0.10546,0.12214,-0.010266,-0.041948,0.0061702,0.027058
"Adenine",0.035666,0.0097389,0.10203,-0.07198,-0.037965,-0.058083,0.13649,-0.049056,-0.083096,0.085416,-0.039398,-0.11028,0.11788,-0.13109,0.011786,-0.011966,0.10066,0.060417,-0.064495,0.042563,-0.066247,-0.058762,-0.078368,-0.092318,-0.1342,-0.23744,0.092338,-0.052422,-0.027717,0.20114,0.29054,0.089182,0.012661,-0.024682,0.036069,-0.039632,0.024724,0.018327,-0.21619,0.042882,0.17754,-0.16623,-0.22009,-0.076544,-0.023861,0.15801,-0.084687,0.078339,-0.066068,0.11839,0.042304,0.10218,0.068916,0.042731,-0.092523,-0.14379,-0.033516,-0.036206,-0.029685,0.10023
"Adenosine cyclic monophosphate",0.01264,-0.016558,0.0049241,0.040037,0.021431,-0.0087536,-0.05408,-0.00096415,-0.045699,0.068004,0.003863,0.043347,0.087808,-0.067028,0.083304,0.13457,-0.054384,-0.17913,-0.0061092,-0.10648,-0.047288,0.12311,0.080123,-0.014713,0.072336,0.24208,-0.1076,0.27144,0.11784,0.10349,0.1669,0.076407,0.052368,-0.010487,-0.0044562,0.18426,0.041153,0.015109,-0.087683,0.030098,-0.061072,-0.098936,0.12738,-0.031286,-0.059592,-0.10921,0.064986,-0.18244,0.020263,0.14388,0.054682,-0.0030048,-0.020457,-0.064729,0.17336,0.01713,0.032791,-0.019727,-0.08184,-0.0033619
"Adenosine monophosphate",-0.031181,0.045516,-0.18645,-0.0018859,-0.095924,0.01034,-0.056505,0.017361,-0.10658,-0.057806,-0.088415,0.028335,-0.033712,0.07013,0.070125,0.039108,0.055469,0.017877,-0.045042,-0.042668,0.035473,-0.029222,-0.076768,0.05215,-0.033207,0.092503,-0.0011599,0.082205,0.098557,-0.074912,0.039047,-0.099574,0.013969,-0.10348,0.12379,-0.035314,-0.11878,0.047216,0.12583,-0.1655,0.2492,-0.14256,-0.11809,-0.097804,0.12748,-0.0056223,-0.043866,-0.0044911,0.031781,-0.032394,-0.012966,-0.081082,-0.014977,0.20193,0.0075642,0.065857,0.18236,-0.029669,-0.086351,-0.14745
"Adenosine triphosphate",-0.011024,0.021813,-0.039691,0.055405,-0.0094191,0.077425,-0.030725,0.047609,-0.0071685,-0.023928,0.024709,0.064287,-0.018466,-0.018173,-0.012903,-0.00017318,0.062794,-0.021021,-0.17658,-0.0097983,0.0123,0.036414,0.086712,-0.0087271,0.0034977,0.018421,0.067277,-0.021787,0.050605,0.026965,0.0069792,0.0044136,-0.0090003,-0.042093,0.032515,0.0905,-0.15095,0.044385,0.024197,0.043249,0.018293,0.10498,0.0091808,-0.039348,0.088564,-0.0334,0.12378,0.21797,0.087145,-0.025926,-0.067182,-0.030603,0.054856,0.030266,0.1476,0.038148,-0.019416,-0.040648,0.035937,0.0044225
"Adipic acid",0.027089,-0.066207,0.065741,-0.081305,0.1003,0.13779,0.075448,-0.11207,0.054591,0.078336,-0.03919,-0.045476,-0.081268,-0.076477,-0.045527,0.14139,0.010401,-0.11103,-0.070376,0.03077,0.10473,-0.071024,0.011853,-0.049389,0.037263,-0.044425,0.034435,0.036633,-0.010226,0.056765,-0.0069955,-0.0045931,-0.045272,0.047477,0.085055,-0.032758,-0.070356,0.084475,0.022421,-0.10285,-0.044704,-0.076907,0.068456,0.15399,-0.0461,-0.10388,-0.056688,0.05725,-0.14289,0.024686,-0.022929,-0.010159,0.041502,-0.096823,-0.062139,0.1669,-0.15376,-0.092631,-0.074752,-0.072806
"AICAR",0.032471,-0.013072,0.058485,-0.04783,-6.261e-05,-0.043464,0.08916,-0.017246,-0.050972,0.12941,0.04062,-0.11321,0.018198,-0.0028481,-0.045519,0.026922,0.073089,-0.062428,0.14756,0.17427,0.04221,0.054854,-0.024552,0.094125,0.002168,0.063812,-0.050769,0.078444,0.10228,-0.14283,-0.23637,0.074723,-0.12725,-0.0049277,0.013287,-0.12805,-0.017585,-0.16341,0.06191,0.10241,0.1887,0.081568,-0.02398,0.061311,-0.042143,0.05815,0.01607,-0.028923,-0.0089374,0.081321,-0.089432,-0.029607,-0.034943,-0.0055305,-0.051444,-0.12574,-0.064615,-0.022938,-0.092904,0.15252
"Alanine",-0.0036279,-0.0075277,-0.025925,0.011548,-0.012083,-0.0024975,-0.022028,-0.01886,-0.026235,-0.019028,-0.0094222,0.0051474,0.013715,0.0064329,0.030206,0.015581,0.0008258,-0.029918,-5.5088e-05,0.022195,0.017749,-0.03757,-0.012909,-0.034013,0.0038129,0.030679,-0.036029,-0.016006,0.0097979,0.017111,0.067278,0.007607,0.02131,-0.041925,0.066634,0.034442,-0.038222,0.0089064,-0.0068182,0.024909,-0.0011774,-0.073811,-0.0026508,0.0036527,-0.069642,0.024589,0.009195,0.0091852,-0.076751,0.070208,-0.074981,0.063271,-0.026352,0.14382,-0.024289,0.095147,0.10745,-0.015087,0.031965,0.12712
"Allantoin",-0.026119,0.040253,-0.011947,0.018274,-0.043102,0.026895,-0.043522,0.035346,-0.04472,0.028077,-0.0091817,-0.05564,-0.047795,-0.03971,-0.015377,0.066569,0.013089,0.015782,-0.0059089,0.035717,-0.050693,-0.0099899,0.01132,0.010773,0.019557,-0.0053693,0.034435,-0.06248,0.041519,0.020913,0.036641,0.029186,0.035574,0.060597,-0.0055693,-0.057578,0.034075,0.10034,0.045304,0.076806,0.084561,0.079488,-0.0038356,-0.13285,-0.0956,-0.039096,0.085184,0.011897,0.039331,0.1488,-0.012519,-0.20917,-0.06191,-0.0084777,0.13349,-0.10417,-0.068019,0.10759,0.033475,0.14809
"alpha-Ketoglutaric acid",0.10815,-0.19536,0.067078,0.037104,-0.0060452,0.080477,0.073899,-0.026035,0.013755,-0.029136,-0.060134,-0.034545,-0.016972,-0.03952,-0.051217,0.098554,0.11472,0.089612,0.019133,-0.071747,0.12163,-0.0056796,0.024976,-0.10458,0.001143,-0.033436,0.12361,0.052387,0.049668,-0.058144,0.027081,-0.057327,0.072838,0.11368,0.11284,-0.011267,-0.04531,-0.092798,0.057253,-0.082182,-0.042147,-0.069438,-0.033134,0.18671,0.14004,0.099623,-0.070485,-0.012276,0.091763,0.039519,0.056578,0.034188,-0.077258,0.15796,0.11086,-0.010932,0.03074,0.074579,0.05391,-0.0050048
"Aminoadipic acid",-0.011687,0.02885,0.009745,-0.015586,0.06016,0.0088276,-0.10896,-0.041564,0.053819,-0.0051219,0.051417,0.050522,-0.082914,-0.043259,0.036408,0.068245,-0.034182,-0.071667,-0.041586,-0.1211,0.08413,-0.052128,-0.013872,-0.18868,-0.0024473,-0.1143,-0.080984,0.017543,-0.005364,0.021647,0.099202,0.0010712,0.0043449,-0.03881,0.079614,0.048817,0.17999,0.036159,-0.020322,-0.029432,-0.078318,0.064427,0.048547,0.0018568,0.031366,-0.099178,0.066424,0.030221,-0.13777,-0.045452,-0.022306,-0.01078,0.06635,0.033356,-0.12022,-0.042703,-0.0068285,0.20485,0.22612,-0.0020091
