"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"113282",-0.84816,5.1207,-2.0695,0.88054,-1.5995,1.6406,0.39167,-0.85739,0.010198,-0.7708,0.81112,-1.0632,0.18784,-0.040335,0.99563,-0.31738,0.42847,-1.7095,0.36629,-0.82594,0.046062,0.083337,0.090167,0.22077,-0.81734,-0.17866,0.31096,0.054328,0.013989,0.13998,-0.56034,-0.29625,0.1113,0.030662,0.10412,0.05759,-0.40388,-0.0069022,-0.19911,0.026373,0.019977,0.010324,0.017155,0.091594,0.1625,-0.22567,-0.11888,-0.062845,-0.13515,-0.10526,0.17017,0.017443,0.077145,-0.1017,-0.0638,-0.044808,-0.02474,0.012516,0.02221,-3.7904e-16
"113283",-0.65864,4.8706,-2.202,2.0005,-0.4236,0.98552,-0.094201,0.29329,0.21854,1.1545,0.33111,-1.543,-0.2486,-0.26469,-1.0226,-0.52507,-0.76603,-0.041763,-0.45505,-0.14683,0.56255,0.67401,-0.089551,-0.32911,0.26245,-0.39739,-0.54326,-0.24632,0.052769,-0.14877,0.1353,-0.51893,-0.47491,0.03949,0.0026348,-0.071224,0.45264,0.058663,0.1272,-0.18293,0.067794,-0.33684,0.015463,0.082313,-0.26431,0.31962,-0.015111,-0.1116,0.12638,-0.022288,-0.13882,-0.012528,-0.1652,0.012829,0.046284,0.0035089,-0.0084966,0.092151,0.007948,7.7022e-16
"113285",-0.36704,4.259,-0.91667,0.96885,-1.7567,0.58047,-0.29685,-0.46975,0.4351,-0.72212,0.19237,-0.41248,1.9049,0.32914,-0.72516,-0.052548,0.45444,0.80179,-0.51731,0.2072,-0.68533,0.4529,0.0010239,-0.26082,0.42049,-0.34312,-0.19337,-0.055864,0.43175,0.25407,0.044697,0.72629,0.40448,-0.039537,-0.5245,0.0657,-0.12319,-0.045689,-0.3086,0.064048,0.091847,0.22309,-0.26792,-0.10471,0.2434,0.035948,0.13986,0.066488,0.023474,0.24089,-0.11682,0.057619,0.10821,0.10784,0.078212,0.07986,0.015864,-0.057571,-0.048995,5.8634e-16
"113289",0.40638,2.2762,0.21194,1.1744,0.67882,-0.66363,-0.63873,0.063187,-0.64778,0.33078,1.2428,0.32888,-0.10175,-0.47778,0.27834,-0.65296,0.78156,0.82355,0.0029325,-0.092338,-0.22032,-0.69383,0.55108,-0.3392,0.40376,0.29252,-0.34975,0.04778,0.12366,0.016482,-0.29252,-0.32555,0.13529,0.46851,0.61936,0.3614,0.070817,0.0093445,0.56917,-0.22007,-0.38116,0.14991,-0.45189,0.31556,0.09933,-0.0078715,-0.26048,0.071167,0.0059588,0.21498,0.050285,-0.012139,0.11934,-0.099998,0.071391,-0.04158,0.012496,-0.019741,-0.038295,5.3126e-16
"113290",-0.1898,2.1418,-2.5999,-1.9649,1.3735,-2.1701,1.4272,0.6157,-1.3501,-0.22966,-0.52463,-0.12427,0.43453,-1.0263,0.82089,-0.15657,0.61332,0.78454,0.19367,-0.56374,0.040775,0.14665,0.10314,0.61145,0.23879,-0.39565,-0.20414,0.27099,0.56007,-0.14088,-0.27304,0.37854,-0.42748,-0.17398,-0.46407,0.17869,-0.099113,-0.23444,0.1404,0.12701,0.16592,-0.19173,0.092452,0.21636,-0.16419,0.10331,0.045938,0.11282,-0.17256,-0.080466,-0.036249,-0.0091936,-0.058072,-0.15393,-0.072665,0.029853,-0.1136,0.047004,-0.027306,5.7246e-16
"113291",0.64225,1.5303,-0.29977,1.0968,0.54747,-0.10407,0.1031,0.21272,0.25778,0.58138,-0.5384,0.44051,0.71833,0.42827,0.47028,-0.30547,-1.1234,-0.12168,-0.30057,-0.39254,-0.10875,-0.30389,-0.56714,0.091014,-0.9281,0.87809,0.79515,-0.22295,0.16078,-0.43946,-0.12822,0.22462,0.050842,0.40792,-0.27034,0.21437,0.38346,-0.345,0.13262,0.06397,0.093972,0.39485,-0.15964,-0.069167,-0.28461,0.10318,-0.041822,0.29646,0.1012,-0.12937,0.064404,-0.1219,0.019447,0.099376,0.079843,-0.028575,-0.066668,0.10463,-0.16662,6.8001e-16
"113296",0.32516,2.6573,0.57915,0.72079,0.57445,-0.27618,-0.52732,0.95849,0.68996,0.15697,0.29707,0.84663,-0.46778,0.17051,0.50493,0.063259,0.90759,0.66557,0.42252,0.095475,-0.054688,0.55998,1.0525,0.033519,-0.84516,-0.04664,-0.23205,-0.085253,-0.44518,-0.49549,-0.1168,-0.15432,-0.13298,-0.42139,-0.25002,0.12019,0.47077,0.12077,-0.20325,-0.28506,0.05082,0.028544,-0.02434,-0.21795,-0.20093,-0.082132,0.32561,-0.23627,-0.2832,0.085819,0.15896,0.087074,0.1538,0.20033,-0.072904,-0.070157,0.06819,0.044146,-0.042378,5.2811e-16
"113297",-4.4717,0.39527,1.339,1.7285,1.9611,-0.50729,0.1369,1.273,0.12899,0.033037,0.3515,-0.054733,0.094695,-0.13268,0.38251,0.13554,-0.6244,-0.33748,-0.0083792,0.49698,-0.6033,0.50949,-0.48811,-0.056345,0.27427,-0.2846,-0.10629,0.55087,-0.61032,-0.57942,-0.062526,-0.19395,-0.36971,0.28847,0.045627,-0.33364,-0.74363,-0.19049,-0.29215,-0.063082,-0.14416,-0.091418,0.075357,-0.19573,0.14499,0.29843,-0.014001,0.15405,-0.043269,0.22029,0.11806,-0.066637,0.17138,-0.065278,-0.067757,0.087797,-0.062834,-0.039817,-0.090768,3.8901e-16
"113298",0.21581,2.0465,-0.033068,0.35658,0.43276,-0.80907,-0.67832,0.038328,-0.08837,-0.012486,-0.99029,1.0271,0.42815,0.042136,0.66862,-0.33371,-0.060375,-0.10939,-0.12758,0.73417,0.6677,0.53451,-0.18035,0.26895,-0.30313,0.024696,-0.41661,-0.18251,-0.36426,-0.2536,-0.11143,-0.28923,0.22653,0.38506,-0.27751,0.48055,-0.053117,-0.058755,0.17322,0.41444,0.12884,-0.11954,0.034279,-0.15062,0.17519,-0.1955,-0.44175,-0.10427,0.13263,0.12909,-0.098441,0.23021,-0.15839,0.13773,-0.0037424,0.16613,-0.056456,-0.048926,0.22779,7.1471e-16
"113300",0.82744,1.632,1.5571,0.16265,0.30956,-0.69184,0.35805,0.36811,-0.21881,-0.025815,0.82797,-0.51338,-0.25096,1.3277,1.1684,-0.61055,0.13012,0.22849,-0.47403,0.089503,-1.2341,0.067803,-1.0568,0.26471,0.40198,-0.2221,0.63741,0.13136,-0.42439,0.63233,0.10622,-0.28105,-0.087482,-0.27189,-0.072751,0.41132,0.38813,0.2147,9.9022e-05,0.1147,-0.29796,-0.16925,0.00079338,-0.0022082,0.056602,-0.16061,0.15477,-0.068977,-0.03148,-0.05383,-0.18537,-0.065805,-0.25997,0.04039,-0.10662,-0.055435,-0.0055176,-0.02706,-0.015387,3.3318e-16
"113301",0.66762,2.3454,0.66476,1.4215,0.66666,1.0247,-0.01776,1.257,0.97624,0.038905,-0.016836,-0.049235,-0.0022336,0.3297,0.11103,0.87465,-0.26897,0.39089,1.0215,0.2628,-0.011473,-0.33169,0.14906,-0.34768,0.35056,-0.27356,0.42889,0.26173,-0.016608,0.28216,0.13475,0.12478,0.10063,-0.10155,-0.3686,-0.24123,0.13722,0.26683,0.032485,-0.086676,0.16193,0.035089,0.29063,0.24461,-0.45647,-0.48883,-0.36529,0.14767,0.0046007,-0.0091111,-0.161,-0.018441,0.15169,-0.22576,0.06432,0.15816,0.027638,-0.029814,0.023297,7.3184e-16
"113302",0.65183,2.2955,1.1806,0.74211,-1.4676,0.11345,1.9207,-0.55044,-1.3993,-0.27777,-0.85905,0.28954,-0.48807,-0.21784,-0.13205,1.3122,-0.208,-0.17961,-0.064083,0.21177,-0.32528,-0.73147,0.085147,-0.91511,-0.03368,-0.27623,-0.31738,-0.46148,-0.2816,-0.2364,0.63873,0.066071,-0.087311,-0.0060389,0.11493,0.85274,-0.29696,-0.21106,-0.17423,-0.16824,-0.13007,-0.085891,0.035922,0.089063,-0.055091,0.042842,0.030445,0.091273,-0.064391,-0.19575,-0.12395,-0.036106,0.11456,0.11746,-0.12167,0.0074985,0.019909,0.10079,0.054127,4.7878e-16
"113303",1.3573,1.3448,1.9789,0.56932,-2.1635,0.67258,3.3201,0.50478,0.10039,0.60184,-0.91368,0.66254,-0.92839,0.025524,-0.73248,-0.23069,0.32642,0.42765,0.71094,0.38778,-0.065329,0.55662,0.24203,1.0987,0.14756,0.1572,0.49261,0.15173,0.45706,0.26252,-0.55302,-0.1375,-0.22868,0.30952,0.33266,-0.13368,-0.057165,0.097779,-0.11057,0.029625,0.02874,0.074118,-0.063083,-0.1438,0.032825,0.10311,-0.084321,0.0017185,0.15765,0.10197,-0.06147,-0.0058225,-0.0084016,0.054565,0.021349,-0.072342,0.012645,-0.030159,-0.0093597,4.8008e-16
"113304",0.72852,1.7423,1.7047,-2.2799,-1.0992,1.4923,-0.93885,1.3342,-0.57697,-1.1626,1.159,1.2629,-0.16477,-0.027947,-0.48632,-0.86761,-1.5946,0.35981,-0.0051569,0.011982,-0.46934,-0.66504,0.42865,0.064376,-0.33723,-0.14549,-0.47408,0.18434,0.4856,-0.12927,-0.10284,-0.05195,-0.030738,0.16285,-0.4533,-0.025811,-0.059667,-0.10883,-0.32489,-0.064136,-0.14124,-0.24447,0.14627,0.06019,0.072631,-0.050178,-0.020883,-0.068747,0.1402,0.0069586,0.15066,-0.082826,-0.15275,-0.072971,0.0025184,-0.10257,-0.019164,0.045762,0.055055,5.5316e-16
"113305",0.72911,1.2809,0.74498,0.39454,1.0905,-1.123,-0.076083,0.010982,-0.92049,0.039445,-1.1392,0.20005,1.1061,0.65241,-0.94801,0.091459,-0.55138,-0.70752,-0.23049,-0.80834,0.27878,-0.44078,0.1064,0.46371,0.55551,-0.39733,-0.31977,-0.27281,0.20915,-0.24,-0.15312,-0.075191,-0.1735,0.31536,0.25112,-0.1825,-0.038818,0.40018,0.15239,-0.30821,-0.23604,0.22217,0.053437,-0.32245,0.015549,-0.53918,0.27661,-0.22571,-0.0011412,-0.041392,-0.0026863,0.10033,-0.029503,-0.037796,-0.094284,0.048054,-0.070756,-0.0044909,-0.1039,5.833e-16
"113306",0.038485,2.3445,0.8685,0.12126,-0.034385,-1.7439,-1.365,-0.73166,-0.52497,-1.0192,0.070789,0.58246,-1.102,0.90753,0.47243,-0.37261,0.44986,-0.2528,0.12538,-0.3235,0.71444,0.19366,-0.43903,-0.17192,0.4488,0.0087759,-0.41332,-0.10462,0.056241,0.29901,-0.24514,0.28059,0.015673,0.30209,0.17388,-0.23454,-0.15636,-0.050921,-0.53154,0.2042,-0.046948,0.078794,-0.10484,-0.25131,-0.47513,0.14573,0.13367,0.065538,0.019352,-0.12312,-0.17232,-0.089384,0.1188,-0.086873,0.24557,-0.10712,0.10176,0.081101,0.12677,2.9772e-16
