Sample Code,Sample Description,5 Methyl tetrahydrofolate,"5,10 Methenyl tetrahydrofolate",Acetylcarnitine,Aconitic acid,Adenine,Adenosine,Adenosine cyclic monophosphate,Adenosine monophosphate,Adenosine triphosphate,Adipic acid,AICAR,Alanine,Allantoin,alpha-Ketoglutaric acid,Aminoadipic acid,Aminobenzoic acid,Aminobutyric acid,Anthranillic acid,Arabitol,Arginine,Argininosuccinic acid,Asparagine,Aspartic Acid,Butyrylcarnitine,Canavanine,Carnitine,Chenodeoxycholic acid,Cholic acid,cis-Aconitic acid,Citramalic acid,Citric acid+Isocitric acid,Citrulline,Creatine,Creatine phosphate,Creatinine,Cystathionine,Cystine,Cytidine,Cytidine monophosphate,Cytidine triphosphate,Cytosine,Dehydroshikimic acid,Deoxy-(methylthio)adenosine,Deoxyadenosine,Deoxyadenosine monophosphate,Deoxyadenosine triphosphate,Deoxycholic acid,Deoxycytidine,Deoxycytidine monophosphate,Deoxycytidine triphosphate,Deoxyguanosine,Deoxyinosine,Deoxyribose,Deoxyribose phosphate,Deoxythymidine triphosphate,Deoxyuridine,Deoxyuridine triphosphate,Dihydrofolate,Dihydroorotic acid,Dihydroxyacetone phosphate,Dihydroxybenzoic acid,Dihydroxyisovalerate,Dimethyl Succinic acid,Epicatechin,Erythro-dihydrosphingosine,Flavin adenine dinucleotide,Folic Acid,Folinic acid,"Fructose 1,6-biphosphate",Fumaric acid,Galactosamine,gamma-Glu-Cys,Glucoheptonic acid,Glucosamine 6-phosphate,Glutamic acid,Glutamine,Glutathione oxidized,Glyceric acid,Glycine,Guanidobutyric acid,Guanine,Guanosine,Guanosine cyclic monophosphate,Guanosine triphosphate,Hexose,Hexose 1-phosphate,Hexose 6-phosphate,Histidine,Homocitrate,Homocystine,Homoserine,Hydroxy hippuric acid,Hydroxy-glutamic acid,Hydroxy-indoleacetic acid,Hydroxy-kynurenine,Hydroxy-proline,Hydroxyanthranilic acid,Hydroxybenzoic acid,Hydroxyethylindole,Hydroxyglutaric acid,Hydroxynicotinic acid,Hydroxyphenyl-pyruvic acid,Hydroxyphenylacetic acid,Hypoxanthine,Indoleacetic acid,Indoline-2-carboxylate,Inosine,Inosine monophosphate,Inosine triphosphate,Isoleucine,Isopentyl acetate,Isopropylmalic acid,Isovalerylcarnitine,Itaconic acid,Ketobutyrate,Kynurenic acid,Kynurenine,Lactic acid,Leucine,Lipoamide,Lysine,Maleic acid,Malic acid,Malonic acid,Methionine,Methoxytryptamine,Methylglutaric acid,Mevalonic acid,Mevalonolactone,Muconic acid,Muriocholic acid,Myristoylcarnitine,N-Acetyl galactosamine,N-Acetyl-glucosamine phosphate,N-Acetylglutamic acid,N-Acetylneuraminic acid,N-Carbamoyl-aspartic acid,N-Carbamyl-glutamic acid,N-Formyl-Tyrosine,Nicotinamide adenine dinucleotide,Nicotinic acid,Nicotinic acid mononucleotide,O-Phosphorylethanolamine,Octanoylcarnitine,Orotic acid,Oxamic acid,Palmitoylcarnitine,Pantothenic acid,Pentahydroxyhexanoic acid,Pentose,Phenolred,Phenylalanine,Phenylpyruvic acid,Phospho-Serine,Phosphoenolpyruvic acid,Phosphoglyceric acid,Prephenic acid,Proline,Propionylcarnitine,Pyridinedicarboxylic acid,Pyridoxal 5 phosphate,Pyridoxal hydrochloride,Pyridoxamine,Pyridoxic acid,Pyridoxine,Pyruvic acid,Quinic acid,Quinolinediol,Riboflavin,Ribonic acid gamma lactone,Ribose 5-phosphate,S-Adenosyl-homocysteine,Salicylic acid,Sedoheptulose-7-phosphate,Serine,Shikimic acid,Succinic acid,Taurine,Tauro-muriocholic acid,Taurocholic acid,Thiamine,Threonine,Thymidine,Thymine,Tryptophan,Tyrosine,Uracil,Uric acid,Uridine,Uridine diphosphohexose,Uridine monophosphate,Uridine triphosphate,Valine,Vanillic acid,Xanthine,Xanthosine,Xanthurenic acid,Xylitol,Xylulose 5-phosphate
113284,PSVD,NA,NA,13.33,0.09,NA,NA,0.02,0.24,1.32,0.07,NA,110.6,9.11,0.19,1.87,NA,NA,0.03,0.31,NA,0.07,24.76,30.56,0.77,NA,138.27,NA,17.21,1.13,1.33,0.91,38.24,34.29,32.55,73.17,NA,2.78,0.05,NA,NA,0,NA,NA,NA,0.02,NA,9.49,NA,NA,NA,0,NA,NA,1.11,NA,0.15,NA,NA,0.06,0.83,NA,0.03,0.01,1.71,20.72,NA,NA,NA,NA,0.01,NA,0,NA,NA,530.87,107.23,2.87,5.41,261.9,NA,NA,0.05,NA,NA,3458.89,0.71,NA,77.47,3.19,NA,7.59,NA,0.2,NA,NA,6.21,NA,0.5,NA,1.58,NA,NA,0.13,75.92,3.22,NA,41.68,0.28,0.06,97.76,0.41,0.01,NA,NA,NA,0.02,0.46,1200.74,127.04,0.85,7.17,NA,5.82,0.1,0.86,NA,NA,NA,NA,0.27,NA,1.94,1.52,NA,0.07,0.09,0.06,0.1,0.24,0.07,NA,NA,2.09,NA,0.04,0.35,3.69,0.31,4.58,1538.73,0,57.17,0.04,0,1.27,5.37,NA,125.69,NA,0.26,NA,0,NA,0.02,NA,3.16,0.3,NA,NA,NA,NA,NA,0.01,0.92,197.57,NA,6.68,60.52,NA,0.87,NA,152.99,NA,0.06,65.68,58.64,0.11,41.73,12.88,0.06,0.16,NA,226.54,0.01,5.3,0.06,0,3.18,NA
113286,PSVD,NA,NA,4.16,0.06,NA,NA,0.02,0.9,1.34,0.11,NA,120.19,17.13,0.24,3.57,NA,NA,0.09,0.28,157.79,0.09,20.83,28.29,NA,NA,111.64,NA,17.22,0.3,2.81,0.9,42.43,28.08,32.8,100.14,NA,1.86,NA,NA,NA,0,NA,NA,NA,0.01,NA,9.57,NA,NA,NA,0,NA,0.16,1.12,NA,0.04,NA,NA,0.04,0.29,NA,NA,0.01,1.95,22.17,NA,NA,NA,NA,0.02,NA,0,NA,NA,602.38,14.18,NA,3.49,245.65,NA,NA,0.04,NA,NA,3490.83,0.64,NA,39.52,3.18,NA,4.62,NA,0.2,NA,NA,4.69,NA,0.37,NA,1.39,NA,NA,0.23,29.19,3.18,NA,12.07,0.28,0.07,64.02,0.48,0.01,NA,NA,NA,0.03,0.78,1434.34,140.12,0.85,NA,0.17,6.06,0.07,0.38,NA,NA,NA,NA,0.57,NA,2.13,0.98,NA,0.08,0.08,0.06,0.04,0.31,NA,NA,NA,2.2,0.21,0.09,0.35,5.95,0.79,3.37,989.31,0,60.26,0.04,0,1.28,5.32,NA,127.6,NA,-0.01,0.07,0.01,NA,0.04,NA,3.36,0.32,NA,0.01,NA,NA,NA,0.03,0.2,104.61,NA,9.5,72.99,NA,0.91,NA,94.82,NA,0.02,41.28,47.7,0.2,27.84,7.01,0.08,0.23,NA,250.17,NA,1.63,0.02,0,3.12,NA
113287,PSVD,NA,NA,3.64,0.1,NA,NA,0.03,0.12,1.59,0.06,NA,123.74,12.59,0.23,2.93,NA,NA,0.04,0.25,NA,0.06,33.08,23.02,NA,NA,151.05,NA,17.21,1.39,1.82,1.22,17.26,33.24,61.86,116.31,NA,0.93,0,NA,NA,0,NA,NA,NA,NA,NA,9.61,NA,NA,NA,0,NA,0.16,0.66,NA,0.05,NA,NA,0.04,0.42,NA,NA,0.01,1.62,19.91,NA,NA,NA,NA,0.01,NA,0,NA,NA,469.31,246.52,NA,4.46,199.03,NA,NA,NA,NA,NA,3501.06,0.59,NA,70.5,3.2,NA,6.72,NA,0.15,0.08,NA,7.93,NA,NA,NA,1.01,NA,NA,0.14,2.98,3.39,NA,NA,NA,0.06,90.47,0.52,0.01,NA,NA,NA,0.02,0.55,900.24,154.98,0.82,28,NA,5.5,0.07,0.58,NA,NA,NA,NA,0.35,NA,1.34,1.23,NA,0.13,0.13,0.11,0.01,0.14,0.06,NA,NA,2.15,0.37,0.05,0.27,5.75,0.35,5.13,1646.82,0,45.4,0.03,0,1.26,4.3,NA,201.01,NA,0.06,NA,0,NA,0.01,NA,3.14,NA,NA,0.02,NA,NA,NA,3.85,0.11,138.36,NA,7.89,66.46,NA,0.85,NA,108.51,NA,0.02,47.26,62.77,0.12,63.84,8.33,0.05,0.18,NA,199.46,NA,1.45,0.02,0,2.69,NA
113288,PSVD,NA,NA,3.93,0.13,0.02,NA,0.03,0.09,0.75,0.06,0.06,117.4,5.26,0.2,0.9,NA,NA,0.03,1.08,NA,0.13,59.02,14.21,NA,NA,134.35,NA,17.36,2.58,4.27,1.4,62.11,28.47,121.63,179.73,NA,1.37,0.2,NA,NA,0,NA,0.02,NA,0.01,0.86,9.19,NA,NA,NA,0,NA,0.66,1.09,NA,0.18,NA,NA,0.06,0.38,NA,0.17,0.01,1.32,84.77,NA,NA,NA,NA,0.01,NA,0,NA,NA,421.98,195.27,NA,5.62,309.09,NA,NA,NA,NA,NA,3511.54,0.59,NA,75.27,3.15,NA,NA,NA,0.17,0.12,NA,12.96,NA,NA,NA,2.36,0.04,NA,0.11,3.25,5.01,NA,0.19,NA,NA,44.54,1.19,0.02,NA,NA,NA,0.07,2.55,1146.62,87.48,1.21,16.29,0.18,5.28,0.05,1.94,NA,NA,NA,NA,NA,NA,1.59,2.37,NA,0.16,0.36,0.22,0.04,NA,NA,NA,NA,0.93,0.5,0.07,0.39,5.43,0.37,16.4,2128.24,0,64.25,0.04,0,1.27,4.2,NA,189.05,NA,-1.27,NA,0,NA,0.06,NA,2.26,1.45,NA,NA,NA,NA,0.07,0.16,0.07,106.2,NA,7.11,74.13,NA,1,NA,126.9,NA,0.07,39.81,52.92,0.1,95.43,6.63,0.04,0.12,NA,167.75,0.03,1.3,0.04,0,9.58,NA
113292,PSVD,NA,NA,12.21,0.08,NA,NA,0.02,0.13,1.36,0.35,NA,114.65,4.04,0.32,6.4,NA,NA,0.03,0.41,60.69,0.05,41.27,12.71,NA,NA,56.41,NA,17.23,0.37,3.04,1.13,48.64,22.72,69.46,71.55,NA,5.19,0.05,NA,NA,0,NA,NA,NA,0.01,0.72,9.74,NA,NA,NA,0,0.11,0.17,NA,NA,0.28,NA,NA,0.07,0.18,NA,NA,0.02,1.38,13.69,NA,NA,NA,NA,0.09,NA,0,NA,NA,494.67,284.21,NA,5.25,322.73,NA,NA,0.68,NA,NA,3525.74,0.66,NA,82.02,3.21,NA,6.16,NA,0.16,NA,NA,5.97,NA,0.5,NA,2.15,0.02,NA,0.16,48.11,3.17,NA,141.86,NA,NA,41.75,1.46,0.01,NA,NA,NA,0.02,0.46,1024.4,121.51,0.85,26.44,0.91,10.18,0.09,6.58,NA,NA,NA,NA,NA,NA,1.69,0.66,NA,0.09,0.1,0.05,0.04,0.07,NA,NA,1.08,2.56,NA,0.04,0.34,5.4,0.34,3.11,1312.94,0,53.61,0.04,0,1.06,4.53,NA,170.9,NA,0.19,NA,0,NA,0.01,NA,2.58,1.7,NA,NA,NA,NA,NA,0.01,0.41,172.08,NA,9.68,18.59,NA,1.2,NA,127.75,NA,0.07,61.27,52.32,0.13,4.66,13.11,0.04,0.09,NA,206.46,0.01,5.05,0.01,0,2.06,NA
113293,PSVD,NA,NA,4.22,0.09,0.01,NA,0.02,0.05,1.3,0.07,NA,142.77,5.88,0.22,3.33,NA,NA,0.09,0.45,69.02,0.1,49.49,30.62,NA,NA,184.2,NA,17.47,0.75,1.76,1.03,49.95,8.67,98.56,135.7,NA,2.21,0.01,NA,NA,0,NA,NA,NA,NA,0.57,11.43,NA,NA,NA,0,NA,0.18,NA,NA,0.14,NA,NA,0.08,NA,NA,0.1,0.01,2.11,28.66,NA,NA,NA,NA,0.01,NA,0,NA,NA,467.39,237.02,NA,7.86,208.85,0.4,NA,NA,NA,NA,3379.26,0.59,NA,74.93,3.17,NA,NA,NA,0.29,0.09,NA,11.52,NA,NA,NA,1.44,NA,NA,0.14,2.7,3.79,NA,0.09,NA,NA,65.88,0.56,0.01,NA,NA,NA,0.03,0.92,1060.08,186.27,0.9,24.44,NA,7.41,0.1,13.06,NA,NA,NA,NA,NA,NA,2.27,0.95,NA,0.11,0.12,0.11,0.01,0.24,NA,NA,NA,1.23,0.29,0.03,0.27,7,0.33,4.01,1731.09,0,102.41,0.06,0,1.27,4.13,NA,216.76,NA,0.17,0.05,0,NA,0.01,NA,2.25,0.25,NA,NA,NA,NA,NA,0.01,0.1,142.5,NA,7.59,55.34,NA,2.59,NA,111.14,NA,0.07,92.17,121.68,0.08,78.19,9.54,0.03,0.08,NA,271.91,0.04,3.65,0.15,0,6.38,0.05
113294,PSVD,NA,NA,16,0.07,NA,NA,0.02,0.04,1.29,0.05,NA,109.26,4.06,0.2,1.75,NA,NA,0.02,0.38,281.5,0.15,41.7,19.78,NA,NA,159.77,NA,17.25,0.34,2.63,1.23,42.51,18.76,68.58,82.26,NA,NA,0.09,NA,NA,0,NA,NA,NA,0.01,NA,9.16,NA,NA,NA,0,NA,0.19,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0.01,1.15,15.6,NA,NA,NA,NA,0.01,NA,0,NA,NA,453.62,160.42,NA,7.86,240.62,0.22,NA,NA,NA,NA,3498.81,0.6,NA,94.71,3.18,NA,5.91,NA,0.16,NA,NA,9.35,NA,NA,NA,1.17,NA,NA,0.11,1.68,4.44,NA,NA,NA,NA,94.51,0.65,0.02,NA,NA,NA,0.03,0.76,678.58,171.25,0.88,13.17,NA,4.66,NA,4.58,NA,NA,NA,NA,NA,NA,1.62,0.97,NA,0.06,0.11,0.05,0.01,0.17,NA,NA,NA,1.21,NA,0.06,0.2,5.63,0.28,5.33,1422.02,0,77.11,0.04,0,1.26,3.97,NA,164.99,NA,-0.57,NA,0,NA,0.01,NA,2.11,NA,NA,NA,NA,NA,NA,0.01,0.06,128.53,NA,6.74,45.78,NA,1.39,NA,127.66,NA,0.11,66.55,68.98,0.06,72.12,6.53,NA,0.1,NA,282.42,NA,1.32,0.02,0,1.68,0.05
113295,PSVD,NA,NA,6.89,0.06,NA,NA,0.02,0.17,1.22,0.06,NA,139.41,5.46,0.34,2.12,NA,NA,0.05,0.48,119.08,0.08,32.46,16.19,NA,NA,91.39,NA,17.14,0.28,5.26,0.81,33.01,6.57,147.75,93.18,NA,1.08,0.01,NA,NA,0,NA,NA,0.2,0.01,NA,10.52,NA,NA,NA,0,NA,0.17,NA,NA,0.05,NA,NA,NA,0.09,NA,NA,0.01,1.4,25.61,NA,NA,NA,NA,0.01,NA,0,NA,NA,593.98,5.44,NA,7.71,186.73,NA,NA,NA,NA,NA,3408.86,0.51,NA,84.27,3.15,NA,NA,NA,0.36,0.08,NA,13,NA,0.5,NA,2,NA,NA,0.12,1.69,3.19,NA,NA,NA,NA,45.41,1.02,0.02,NA,NA,NA,0.02,0.54,1159.3,128.2,0.96,NA,NA,6.5,0.09,10.04,NA,NA,NA,NA,NA,NA,1.46,0.87,NA,0.09,0.1,0.02,0.01,0.14,NA,NA,NA,1.49,NA,0.05,0.58,4.94,0.19,3.01,1678.62,0,57.29,0.04,0,1.2,4.42,NA,285.18,NA,-0.22,NA,0,NA,0.01,NA,2.82,NA,NA,NA,NA,NA,0.03,0.02,0.14,82.87,NA,15.55,55.65,NA,0.88,NA,104.59,NA,0.1,87.61,79.57,0.06,53.06,7.31,0.05,0.15,NA,248.85,0.02,1.56,0.02,0,4.3,NA
113299,PSVD,NA,NA,12.57,0.05,NA,NA,0.02,0.03,1.1,0.03,NA,92.15,5.34,0.39,1.83,NA,NA,0.03,0.35,NA,0.06,36.58,14.32,NA,NA,165.37,NA,17.21,0.26,1.1,0.77,29.73,14.56,37.04,109.92,NA,NA,0,NA,NA,0,NA,NA,NA,0.02,NA,9.91,NA,NA,NA,0,NA,0.16,NA,NA,0.07,NA,NA,0.1,NA,NA,NA,0.02,1.23,19.85,NA,NA,NA,NA,NA,NA,0,NA,NA,679.45,1.42,NA,7.48,184.14,NA,NA,NA,NA,NA,3467.07,0.49,NA,82.29,3.18,NA,4.35,NA,0.26,0.08,NA,6.62,NA,NA,NA,0.89,NA,NA,0.15,3.15,3.53,NA,NA,NA,NA,58.84,0.48,0.01,NA,NA,NA,0.02,0.74,793.19,132.11,0.9,NA,NA,4.56,NA,12.35,NA,NA,NA,NA,NA,NA,1.93,0.71,NA,0.07,0.08,0.06,0.01,0.07,NA,NA,NA,NA,NA,0.04,0.28,4.98,0.26,3.07,1538.93,0,53.29,0.04,0,1.27,4.07,NA,296.79,NA,-0.05,NA,0.01,NA,0.02,NA,2.58,NA,NA,NA,NA,NA,NA,0.01,NA,113.88,NA,11.82,43.46,NA,0.91,NA,94.25,NA,0.06,79.91,50.6,0.09,75.26,6.98,0.03,0.08,NA,251,0.04,0.69,0.01,0,2.7,0.02
113309,PSVD,NA,NA,18.71,0.09,0.02,NA,0.03,0.02,NA,0.12,0.09,112.57,5.24,1.88,3.13,NA,NA,0.03,0.96,147.62,0.09,42.4,10.57,NA,NA,113.28,NA,17.28,1.16,1.27,1.33,78.36,7.44,162.95,220.48,2.53,2.29,0.15,NA,NA,0,NA,NA,NA,0.01,NA,10.1,NA,NA,NA,0,NA,0.17,NA,NA,0.09,NA,NA,0.11,NA,NA,0.15,0.04,1.08,56.64,NA,NA,NA,NA,0.01,NA,0,NA,NA,230.9,433.67,NA,6.08,184.52,NA,NA,NA,NA,NA,3497.09,0.51,NA,76.47,3.12,NA,6.44,NA,0.22,0.13,0.11,10.13,NA,0.31,NA,0.83,0.05,NA,0.48,2.39,3.98,NA,NA,NA,NA,109.5,0.77,0.01,NA,NA,NA,0.13,3.98,729.3,239.18,1.17,55.96,NA,3.76,NA,20.87,NA,NA,NA,NA,NA,NA,1.47,2.95,NA,0.15,0.34,0.05,0.01,NA,NA,NA,NA,NA,0.57,0.04,0.47,5.52,0.29,6.01,1851.29,0,110.23,0.09,0,0.83,3.99,NA,378.1,NA,-1.11,NA,0,NA,0.1,NA,5.51,1.58,NA,0.02,NA,NA,0.1,2.65,NA,81.97,NA,3.73,56.17,NA,0.85,NA,173.64,NA,0.1,49.87,65.36,0.16,84.41,7.6,0.02,0.07,NA,367.18,0.02,0.66,0.06,0,8.6,0.04
