iph_cir_fc,iph_hc_fc,iph_cir_p,iph_hc_p,metabolite
-1.04491833,-1.242317056,0.999947723,0.452151793,Glutamic Acid
1.34099247,-1.031939691,0.003451397,0.999996517,Glycine
1.145655371,-1.239608925,0.387520289,0.063492441,Alanine
1.210663367,1.002441556,0.022467905,0.999996517,Serine
1.112730937,1.000471235,0.628118506,0.999996517,Proline
1.103252688,-1.199063679,0.493327234,0.049493877,Valine
1.10443183,1.030875474,0.650766053,0.999996517,Threonine
1.068147919,-2.167470891,0.964425882,2.06361E-08,Taurine
1.103348691,-1.085399587,0.585463914,0.700329078,Isoleucine
1.20646478,-1.179508223,0.083407527,0.14441194,Leucine
1.198473544,1.042303993,0.043784709,0.999183972,Asparagine
1.131440531,1.015861175,0.547712672,0.999996517,Aspartic Acid
1.201217426,1.091825159,0.007655993,0.342649495,Glutamine
-1.014804759,-1.12945108,0.999947723,0.18707729,Lysine
1.074495307,1.228770761,0.902605393,0.119310981,Methionine
1.239788444,-1.119171822,0.014433487,0.337940609,Histidine
1.067155967,1.064825489,0.862136163,0.872476736,Phenylalanine
1.106911914,1.063383793,0.518587146,0.854466094,Arginine
-1.160360966,1.175022629,0.342778545,0.262026886,Tyrosine
1.106557407,-1.087807872,0.59770842,0.711977685,Tryptophan
1.051061383,-1.032348284,0.788101184,0.997370242,Sarcosine
-1.031949777,1.261335547,0.999947723,0.002531648,Cystine
-1.065562191,-1.352073025,0.999947723,0.122573368,Gly-DL-Phe
1.394161108,-1.445902505,0.062806155,0.03190427,Hypotaurine
1.082615346,1.323734909,0.823424885,0.007645173,Gamma-Aminobutyric acid
-1.069144405,-1.244305745,0.951041983,0.156966721,DL-2-Aminoadipic acid
1.031034036,1.229337525,0.999947723,0.122480092,Kynurenine
-1.249790063,-1.892774603,0.850440128,0.063810958,Phe-Phe
-1.053933993,-1.208486856,0.999947723,0.999996517,Asp-Phe
1.462033297,1.21188471,0.669345631,0.999996517,Gly-Gly
1.189591309,1.298941025,0.201968408,0.02230601,L-Citrulline
1.100743745,1.288709682,0.787556163,0.053379495,L-Homoserine
-1.332563905,1.292111475,0.476919262,0.538625391,AC(6:0)
1.145968919,-1.471897973,0.844735086,0.060126639,AC(8:0)
-1.001396636,-1.595912429,0.999947723,0.02346848,AC(10:0)
1.080805845,-1.397364888,0.98160647,0.070804815,AC(12:0)
-1.026416299,1.271905359,0.999947723,0.421652172,
1.341578895,1.328492871,0.748239915,0.738384762,
1.459657804,-1.415535141,0.033491865,0.057813807,
-1.113565937,-1.186517103,0.922410791,0.655349687,
1.605203029,1.53411284,0.020167381,0.040483937,AC(18:2n-6)
1.00098796,1.228873555,0.999947723,0.237221123,AC(18:1n-9)
1.625050122,-1.305083479,0.239341961,0.743663951,
-1.265153556,1.040544479,0.128599737,0.999996517,AC(14:0)
1.385304452,1.138398552,0.214547206,0.919192563,
1.179529673,1.355332473,0.329454555,0.012871512,AC(16:0)
-1.084670179,1.648940738,0.969373296,0.002446214,
1.335136675,-1.003778777,0.078119137,0.999996517,AC(18:0)
1.39784867,1.200015406,0.224815464,0.743663951,
1.113806788,1.329521302,0.999947723,0.999996517,Cholic acid
1.952323765,-1.530860576,0.654319909,0.914848232,Deoxycholic acid
2.169227397,2.524782399,0.180612303,0.08202202,Chenodeoxycholic acid
3.201723179,1.611385536,0.015048129,0.554366198,Ursodeoxycholic + Hyodeoxycholic acid
1.42814295,3.766974311,0.823424885,0.004508645,Lithocholic acid
-1.795602371,30.40559937,0.568976099,2.06361E-08,Taurocholic acid
