name_original,name_corrected,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
CE 15:0,CE(15:0),CE(15:0),HMDB0060057,24779606,NA,NA,NA,[H][C@@]12CCC([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OC(=O)CCCCCCCCCCCCCC,1
CE 16:0,CE(16:0),CE(16:0),HMDB0000885,246520,3663,C11251,5844,CCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C,1
CE 16:1,CE(16:1),CE(16:1),L1,NA,NA,NA,NA,NA,1
CE 18:0,CE(18:0),CE(18:0),HMDB0010368,53480457,NA,C02530,5898,CCCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)CCC4[C@H](C)CCCC(C)C)C)C,1
CE 18:1,CE(18:1),CE(18:1(9Z)),HMDB0000918,5283632,46898,C14641,5872,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C,1
CE 18:2,CE(18:2),"CE(18:2(9Z,12Z))",HMDB0000610,5287939,41509,C15441,5584,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C,1
CE 18:3,CE(18:3),"CE(18:3(6Z,9Z,12Z))",HMDB0010369,53480458,88756,NA,NA,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H]1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)CCC4[C@H](C)CCCC(C)C)C)C,1
CE 20:0,CE(20:0),CE(20:0),HMDB0006740,53477894,NA,C02530,NA,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)CCC4[C@H](C)CCCC(C)C)C)C,1
CE 20:3,CE(20:3),"CE(20:3(8Z,11Z,14Z))",HMDB0006736,53477892,NA,C02530,NA,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H]1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)CCC4[C@H](C)CCCC(C)C)C)C,1
CE 20:4,CE(20:4),"CE(20:4(5Z,8Z,11Z,14Z))",HMDB0006726,131801657,NA,C02530,NA,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C,1
