name_original,name_corrected,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
5 Methyl tetrahydrofolate,5 Methyl tetrahydrofolate,5-Methyltetrahydrofolic acid,HMDB0001396,439234,15641,C00440,6215,CN1C(CNC2=CC=C(C=C2)C(=O)N[C@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2,1
"5,10 Methenyl tetrahydrofolate","5,10 Methenyl tetrahydrofolate","5,10-Methenyltetrahydrofolic acid",HMDB0001354,135450599,15636,C00445,6185,[H][C@@]12CN(C=[N+]1C1=C(NC2)NC(N)=NC1=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C([O-])=O,1
Acetylcarnitine,Acetylcarnitine,L-Acetylcarnitine,HMDB0000201,7045767,NA,C02571,5213,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,1
Aconitic acid,Aconitic acid,cis-Aconitic acid,HMDB0000072,643757,32805,C00417,5130,OC(=O)C\C(=C\C(O)=O)C(O)=O,1
Adenine,Adenine,Adenine,HMDB0000034,190,16708,C00147,85,NC1=C2NC=NC2=NC=N1,1
Adenosine,Adenosine,Adenosine,HMDB0000050,60961,16335,C00212,86,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,1
Adenosine cyclic monophosphate,Adenosine cyclic monophosphate,Cyclic AMP,HMDB0000058,6076,17489,C00575,5120,[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N,1
Adenosine monophosphate,Adenosine monophosphate,Adenosine monophosphate,HMDB0000045,6083,16027,C00020,5111,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,1
Adenosine triphosphate,Adenosine triphosphate,Adenosine triphosphate,HMDB0000538,5957,15422,C00002,5523,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,1
Adipic acid,Adipic acid,Adipic acid,HMDB0000448,196,30832,C06104,115,C(CCC(=O)O)CC(=O)O,1
AICAR,AICAR,AICAR,HMDB0001517,65110,18406,C04677,6294,NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1
Alanine,Alanine,L-Alanine,HMDB0000161,5950,16977,C00041,NA,C[C@H](N)C(O)=O,1
Allantoin,Allantoin,Allantoin,HMDB0000462,204,15676,C01551,89,NC(=O)NC1NC(=O)NC1=O,1
alpha-Ketoglutaric acid,alpha-Ketoglutaric acid,Oxoglutaric acid,HMDB0000208,51,30915,C00026,5218,OC(=O)CCC(=O)C(O)=O,1
Aminoadipic acid,Aminoadipic acid,Aminoadipic acid,HMDB0000510,469,37024,C00956,5496,NC(CCCC(=O)O)C(=O)O,1
Aminobenzoic acid,Aminobenzoic acid,p-Aminobenzoic acid,HMDB0001392,978,30753,C00568,3261,NC1=CC=C(C=C1)C(O)=O,1
Aminobutyric acid,Aminobutyric acid,Aminobutyric acid,M1,NA,NA,NA,NA,NA,1
Anthranillic acid ,Anthranillic acid,2-Aminobenzoic acid,HMDB0001123,227,30754,C00108,6018,NC1=CC=CC=C1C(O)=O,1
Arabitol,Arabitol,D-Arabitol,HMDB0000568,94154,18333,C01904,5551,OC[C@@H](O)C(O)[C@H](O)CO,1
Arginine,Arginine,L-Arginine,HMDB0000517,6322,16467,C00062,5502,N[C@@H](CCCNC(N)=N)C(O)=O,1
Argininosuccinic acid,Argininosuccinic acid,Argininosuccinic acid,HMDB0000052,16950,15682,C03406,5115,N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O,1
Asparagine,Asparagine,L-Asparagine,HMDB0000168,6267,17196,C00152,14,N[C@@H](CC(N)=O)C(O)=O,1
Aspartic Acid,Aspartic Acid,L-Aspartic acid,HMDB0000191,5960,17053,C00049,5206,N[C@@H](CC(O)=O)C(O)=O,1
Butyrylcarnitine,Butyrylcarnitine,Butyrylcarnitine,HMDB0002013,439829,NA,C02862,6436,CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,1
Canavanine,Canavanine,Canavanine,HMDB0002706,439202,405237,C00308,3238,N[C@@H](CCONC(N)=N)C(O)=O,1
Carnitine,Carnitine,L-Carnitine,HMDB0000062,10917,16347,C00318,52,C[N+](C)(C)C[C@H](O)CC([O-])=O,1
Chenodeoxycholic acid ,Chenodeoxycholic acid,Chenodeoxycholic acid,HMDB0000518,10133,16755,C02528,207,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,1
Cholic acid ,Cholic acid,Cholic acid,HMDB0000619,221493,16359,C00695,206,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,1
cis-Aconitic acid,cis-Aconitic acid,cis-Aconitic acid,HMDB0000072,643757,32805,C00417,5130,OC(=O)C\C(=C\C(O)=O)C(O)=O,1
Citramalic acid,Citramalic acid,Citramalic acid,HMDB0000426,441696,15584,C00815,5415,CC(CC(=O)O)(C(=O)O)O,1
Citric acid+Isocitric acid,Citric acid+Isocitric acid,Citric acid/Isocitric acid,M2,NA,NA,NA,NA,NA,1
Citrulline,Citrulline,Citrulline,HMDB0000904,9750,16349,C00327,16,N[C@@H](CCCNC(N)=O)C(O)=O,1
Creatine,Creatine,Creatine,HMDB0000064,586,16919,C00300,7,CN(CC(O)=O)C(N)=N,1
Creatine phosphate,Creatine phosphate,Phosphocreatine,HMDB0001511,587,17287,C02305,6288,CN(CC(O)=O)C(=N)NP(O)(O)=O,1
Creatinine,Creatinine,Creatinine,HMDB0000562,588,16737,C00791,8,CN1CC(=O)NC1=N,1
Cystathionine,Cystathionine,L-Cystathionine,HMDB0000099,439258,17482,C02291,39,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O,1
Cystine,Cystine,L-Cystine,HMDB0000192,67678,16283,C00491,5207,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,1
Cytidine,Cytidine,Cytidine,HMDB0000089,6253,17562,C00475,3376,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
Cytidine monophosphate,Cytidine monophosphate,Cytidine monophosphate,HMDB0000095,6131,17361,C00055,5143,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1
Cytidine triphosphate,Cytidine triphosphate,Cytidine triphosphate,HMDB0000082,6176,17677,C00063,5136,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,1
Cytosine,Cytosine,Cytosine,HMDB0000630,597,16040,C00380,283,NC1=CC=NC(=O)N1,1
Dehydroshikimic acid,Dehydroshikimic acid,NA,M3,5460360,NA,NA,NA,NA,0
Deoxy-(methylthio)adenosine,Deoxy-(methylthio)adenosine,NA,M4,439176,NA,NA,NA,NA,0
